Agriculture_value_added_GDP_percentage,Primary School age Children_out_of_school,GPD_Per_Capita_Percentage,Human_Development_Index,Trade_GDP,NumberOfConflicts
1.992663051,1.6413997,0.083085422,-0.048583282,-0.095371307,-0.22342731
1.774810362,1.48732295,-0.05683456,-0.036359902,-0.260297227,-0.227690981
1.795292796,1.333246199,-0.882712895,-0.028210982,-0.208793298,-0.229112204
1.867653191,0.97373378,0.081721049,-0.024136522,-0.333569216,-0.207083237
1.879362191,2.565860205,-0.022305622,-0.020062062,-0.409789278,-0.190028552
2.061582764,1.48732295,-1.25094022,-0.024136522,-0.407207993,-0.185054269
1.994291203,1.333246199,0.3221866,-0.007838682,-0.470072178,-0.214189355
1.951951453,1.692758617,-0.371011599,0.008459158,-0.431625138,-0.225559145
1.96531975,1.692758617,0.16151948,0.036980378,-0.403743649,-0.199977118
1.915781495,1.281887282,0.142813141,0.069576058,-0.379066101,-0.17013142
1.994876893,0.81965703,-0.189937942,0.098097278,-0.444954112,-0.178658763
1.935117537,0.81965703,-0.199675351,0.126618498,-0.455843435,-0.170842032
1.911201159,0.665580279,0.034214809,0.163288639,-0.363313593,-0.116124919
1.927693719,0.768298113,0.124192133,0.183660939,-0.469246758,-0.190739164
1.896751028,0.665580279,0.280886433,0.199958779,-0.470793762,-0.134600827
1.482264045,0.203350026,-5.406127344,0.098097278,-0.339336826,0.13614229
1.246445275,0.049273276,-0.152413375,0.106246198,-0.104986605,0.523425752
1.25749331,1.949553202,0.324280016,0.126618498,-0.176578241,0.016759498
1.284926573,-0.002085641,0.231215706,-1.307591426,-0.270271941,-0.026587825
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,0.064370492
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,0.053000703
1.123933395,1.949553202,0.045139601,-1.307591426,-0.131912786,-0.230533428
1.172143663,1.692758617,0.211277062,-1.307591426,-0.158304472,-0.231954652
1.113063886,1.590040784,-0.833064589,-1.307591426,-0.106770096,-0.231954652
1.254811624,1.538681867,-0.872233657,-0.085253422,-0.084393903,-0.224848533
1.226988592,1.435964033,0.805406414,-0.073030042,0.183932807,-0.232665264
1.096281287,1.281887282,0.368724133,-0.150444782,1.489270051,-0.229822816
0.773449292,1.179169448,1.209037452,-0.081178962,0.584968792,-0.227690981
0.214235008,0.511503528,3.772804145,-0.060806662,0.971961451,-0.207083237
